year,school_code,longitude,latitude
2017,01-10-9239-43,-90.688614,14.70299
2017,01-11-1836-43,-90.59565,14.765877
2017,01-11-1837-43,-90.605873,14.747697
2017,01-11-1838-43,-90.530762,14.776483
2017,01-11-1840-43,-90.559891,14.777437
2017,01-11-6454-43,-90.534752,14.816549
2017,01-11-9495-43,-90.594368,14.765919
2017,01-12-0016-43,-90.529312,14.817113
2017,01-12-1854-43,-90.440216,14.854954
2017,01-13-9149-43,-90.440193,14.463446
2017,01-14-0042-43,-90.628616,14.445901
2017,01-14-0046-43,-90.612984,14.479946
2017,01-14-1886-43,-90.624092,14.479698
2017,01-14-1895-43,-90.563042,14.40818
2017,01-14-1897-43,-90.569435,14.453852
2017,01-14-1900-43,-90.643715,14.4796
2017,01-14-2696-43,-90.622566,14.484401
2017,01-14-6399-43,-90.611732,14.475222
2017,01-14-7030-43,-90.627403,14.469749
2017,01-14-7554-43,-90.638489,14.485156
2017,01-15-0494-43,-90.637627,14.534561
2017,01-15-1978-43,-90.589401,14.521863
2017,01-15-1998-43,-90.564156,14.567496
2017,01-15-2002-43,-90.575249,14.523469
2017,01-15-2003-43,-90.592117,14.548904
2017,01-15-2004-43,-90.572411,14.51855
2017,01-15-2007-43,-90.60125,14.522172
2017,01-15-2010-43,-90.581757,14.555806
2017,01-15-2013-43,-90.608101,14.562752
2017,01-15-2745-43,-90.581436,14.528837
2017,01-15-2894-43,-90.589401,14.521863
2017,01-15-2906-43,-90.563393,14.570187
2017,01-15-6078-43,-90.618843,14.547637
2017,01-15-6404-43,-90.60125,14.522172
2017,01-15-6405-43,-90.565308,14.516539
2017,01-15-6599-43,-90.568787,14.568802
2017,01-15-7009-43,-90.594673,14.507352
2017,01-15-7011-43,-90.587646,14.502535
2017,01-15-7231-43,-90.611923,14.57049
2017,01-15-7384-43,-90.562897,14.560739
2017,01-15-7519-43,-90.572113,14.538205
2017,01-15-8112-43,-90.592171,14.50047
2017,01-15-8131-43,-90.565834,14.532778
2017,01-15-9488-43,-90.623497,14.51197
2017,01-15-9852-43,-90.605637,14.567947
2017,01-16-0065-43,-90.507431,14.351456
2017,01-16-2098-43,-90.533211,14.482173
2017,01-16-2102-43,-90.521477,14.474563
2017,01-16-2105-43,-90.54232,14.406775
2017,01-16-2108-43,-90.497169,14.477348
2017,01-16-2109-43,-90.564972,14.289496
2017,01-16-2113-43,-90.556252,14.456757
2017,01-16-2115-43,-90.514145,14.336166
2017,01-16-2120-43,-90.523743,14.496629
2017,01-16-6267-43,-90.522781,14.549884
2017,01-16-6435-43,-90.508339,14.538397
2017,01-16-6872-43,-90.54232,14.406775
2017,01-16-7520-43,-90.563354,14.279912
2017,01-16-9577-43,-90.523582,14.539534
2017,01-17-0055-43,-90.543633,14.484108
2017,01-17-2152-43,-90.565842,14.507154
2017,01-17-4110-43,-90.569374,14.483273
2017,02-01-0004-43,-90.066216,14.856154
2017,02-01-0006-43,-90.134697,14.858058
2017,02-01-0012-43,-90.100586,14.858145
2017,02-01-0016-43,-90.024017,14.861806
2017,02-01-0017-43,-89.979645,14.811629
2017,02-01-0023-43,-90.007744,14.820758
2017,02-01-0033-43,-90.033554,14.811582
2017,02-02-0034-43,-90.190788,14.964225
2017,02-02-0038-43,-90.19104,14.885533
2017,02-02-0041-43,-90.095863,14.976591
2017,02-02-0045-43,-90.161011,14.962041
2017,02-02-0046-43,-90.156136,14.935535
2017,02-02-0047-43,-90.123238,14.934998
2017,02-02-0050-43,-90.132202,14.991565
2017,02-02-0051-43,-90.078629,14.99856
2017,02-02-0052-43,-90.213974,14.915312
2017,02-02-0643-43,-90.150978,14.919079
2017,02-02-0775-43,-90.149078,14.984251
2017,02-03-0017-43,-89.985191,15.031897
2017,02-03-0041-43,-89.939468,15.005603
2017,02-03-0060-43,-89.97065,14.940424
2017,02-03-0066-43,-90.002228,15.028884
2017,02-03-0068-43,-90.008492,14.922777
2017,02-03-0074-43,-90.046204,14.970336
2017,02-03-0076-43,-89.985634,14.999289
2017,02-03-0081-43,-89.972687,15.015632
2017,02-03-0086-43,-90.045212,14.984447
2017,02-03-0090-43,-89.991875,14.941483
2017,02-03-0583-43,-90.030853,14.926997
2017,02-03-0654-43,-89.937103,15.023807
2017,02-03-0671-43,-90.00415,14.913283
2017,02-03-0745-43,-89.97065,14.940424
2017,02-03-0786-43,-89.968971,15.016491
2017,02-03-0825-43,-90.005371,15.00561
2017,02-04-0106-43,-89.864182,14.969213
2017,02-04-0108-43,-89.915848,14.967492
2017,02-04-0110-43,-89.850365,14.92664
2017,02-05-0114-43,-89.896278,14.910176
2017,02-05-0116-43,-89.8209,14.906603
2017,02-05-0118-43,-89.962448,14.904787
2017,02-05-0123-43,-89.976425,14.868094
2017,02-05-0127-43,-89.883041,14.903905
2017,02-06-0134-43,-90.115273,14.751381
2017,02-06-0136-43,-90.119537,14.758143
2017,02-06-0139-43,-90.081398,14.753466
2017,02-06-0140-43,-90.154419,14.723759
2017,02-06-0141-43,-90.123497,14.790422
2017,02-06-0144-43,-90.106361,14.766991
2017,02-06-0225-43,-90.050522,14.769608
2017,02-07-0001-43,-90.308029,14.862803
2017,02-07-0015-43,-90.204781,14.775126
2017,02-07-0172-43,-90.271942,14.807117
2017,02-07-0174-43,-90.218269,14.798409
2017,02-07-0177-43,-90.206352,14.759048
2017,02-07-0180-43,-90.178261,14.721648
2017,02-07-0183-43,-90.334778,14.835005
2017,02-07-0187-43,-90.188202,14.812215
2017,02-07-0245-43,-90.327736,14.859573
2017,02-07-0512-43,-90.16954,14.74991
2017,02-07-0513-43,-90.237038,14.810946
2017,02-08-0205-43,-90.286835,14.758924
2017,02-08-0208-43,-90.328156,14.747933
2017,02-08-0226-43,-90.317863,14.721384
2017,03-01-0026-43,-90.730698,14.555409
2017,03-01-0248-43,-90.746002,14.547331
2017,03-01-0817-43,-90.737541,14.564245
2017,03-02-0012-43,-90.738022,14.578048
2017,03-02-0013-43,-90.740997,14.575155
2017,03-02-0083-43,-90.721825,14.58788
2017,03-02-0222-43,-90.738022,14.578048
2017,03-03-0092-43,-90.771858,14.617363
2017,03-03-0093-43,-90.784592,14.610679
2017,03-04-0103-43,-90.724945,14.646755
2017,03-04-0110-43,-90.739891,14.622374
2017,03-04-0114-43,-90.736618,14.688855
2017,03-05-0008-43,-90.677391,14.666164
2017,03-06-0024-43,-90.69265,14.641766
2017,03-06-0124-43,-90.678452,14.633011
2017,03-08-0227-43,-90.646019,14.583009
2017,03-08-0867-43,-90.655792,14.608786
2017,03-09-0158-43,-90.672974,14.577484
2017,03-09-0159-43,-90.670425,14.562131
2017,03-09-0160-43,-90.665237,14.590128
2017,03-10-0165-43,-90.691933,14.556257
2017,03-11-0006-43,-90.709305,14.494124
2017,03-13-0189-43,-90.797562,14.523314
2017,04-01-0012-43,-90.827354,14.693751
2017,04-01-0018-43,-90.792755,14.690108
2017,04-01-0020-43,-90.809792,14.641257
2017,04-01-0029-43,-90.829826,14.661794
2017,04-01-0030-43,-90.817131,14.663852
2017,04-01-0086-43,-90.801491,14.678811
2017,04-01-0186-43,-90.802513,14.69736
2017,04-01-0562-43,-90.826447,14.719423
2017,04-01-0614-43,-90.838211,14.725925
2017,04-01-2437-43,-90.817131,14.663852
2017,04-01-2440-43,-90.812401,14.665225
2017,04-01-2738-43,-90.84243,14.673499
2017,04-01-2809-43,-90.794228,14.682281
2017,04-02-0086-43,-90.932007,14.896395
2017,04-02-0090-43,-90.890747,14.855943
2017,04-02-0095-43,-90.935547,14.853021
2017,04-02-0100-43,-90.924545,14.866834
2017,04-02-0104-43,-90.91304,14.817118
2017,04-02-0565-43,-90.930496,14.846011
2017,04-02-3006-43,-90.870354,14.83992
2017,04-03-0032-43,-90.833672,14.802777
2017,04-03-0034-43,-90.832352,14.869448
2017,04-03-0035-43,-90.850426,14.897756
2017,04-03-0048-43,-90.87088,14.897802
2017,04-03-0051-43,-90.897636,14.929404
2017,04-03-0053-43,-90.793251,14.917677
2017,04-03-0119-43,-90.794296,14.789944
2017,04-03-0127-43,-90.772881,14.918789
2017,04-03-0136-43,-90.805107,14.857866
2017,04-03-0146-43,-90.767136,14.874166
2017,04-03-0147-43,-90.703369,14.90176
2017,04-03-0151-43,-90.792389,14.81466
2017,04-03-0157-43,-90.762817,14.885024
2017,04-03-0159-43,-90.674461,14.855496
2017,04-03-0160-43,-90.736084,14.794298
2017,04-03-0162-43,-90.696426,14.899049
2017,04-03-0171-43,-90.757172,14.876101
2017,04-03-0174-43,-90.74086,14.773067
2017,04-03-0180-43,-90.823906,14.837114
2017,04-03-0568-43,-90.762596,14.795235
2017,04-03-2724-43,-90.795692,14.777197
2017,04-04-0199-43,-90.859512,14.830709
2017,04-04-0200-43,-90.84594,14.730679
2017,04-04-0201-43,-90.8526,14.810375
2017,04-04-0208-43,-90.898346,14.792285
2017,04-04-0213-43,-90.844635,14.740819
2017,04-04-0217-43,-90.880608,14.723671
2017,04-05-0002-43,-90.976166,14.799654
2017,04-05-0007-43,-90.947571,14.863975
2017,04-05-0009-43,-90.95726,14.806593
2017,04-05-0242-43,-90.949852,14.819048
2017,04-05-0243-43,-90.965202,14.811724
2017,04-05-2729-43,-90.964645,14.800476
2017,04-05-2831-43,-90.960556,14.79446
2017,04-05-3212-43,-90.93631,14.796948
2017,04-06-0025-43,-91.007683,14.909714
2017,04-06-0028-43,-90.981339,14.926607
2017,04-06-0030-43,-90.969505,14.730105
2017,04-06-0033-43,-90.982635,14.879012
2017,04-06-0049-43,-90.981308,14.742345
2017,04-06-0054-43,-90.986526,14.895938
2017,04-06-0072-43,-90.944595,14.750008
2017,04-06-0307-43,-90.983238,14.862432
2017,04-06-0308-43,-90.947578,14.710931
2017,04-06-0314-43,-90.964592,14.772628
2017,04-06-0320-43,-91.027565,14.83048
2017,04-06-0323-43,-90.969444,14.745295
2017,04-06-0543-43,-90.987823,14.913488
2017,04-06-0576-43,-90.947426,14.768859
2017,04-06-3003-43,-90.9832,14.910235
2017,04-07-0009-43,-90.980873,14.604054
2017,04-07-0012-43,-91.014603,14.65063
2017,04-07-0390-43,-91.053925,14.674903
2017,04-07-0403-43,-91.069717,14.643319
2017,04-07-2071-43,-90.971687,14.613117
