year,school_code,longitude,latitude
2008,00-12-0880-43,-90.53789999999999,14.5964
2008,01-15-2001-43,-90.6527,14.5412
2008,01-15-6077-43,-90.56570000000001,14.5401
2008,02-03-0082-43,-89.9723,15.0057
2008,03-03-0091-43,-90.75360000000001,14.5939
2008,04-03-0161-43,-90.69580000000001,14.8843
2008,05-02-0182-43,-91.0051,14.3521
2008,05-04-0630-43,-90.89700000000001,14.3192
2008,07-01-0474-43,-91.175,14.826
2008,09-01-3758-43,-91.5065,14.8522
2008,09-06-0257-43,-91.6656,15.0946
2008,09-14-3091-43,-91.42870000000001,14.8422
2008,10-02-0916-43,-91.57940000000001,14.5508
2008,13-02-5490-43,-91.4294,15.5089
2008,13-03-0194-43,-91.494,15.18
2008,13-04-0209-43,-91.9372,15.4054
2008,13-05-0320-43,-91.7129,15.8649
2008,13-06-0352-43,-91.777,15.4804
2008,13-11-0584-43,-91.86369999999999,15.5003
2008,13-19-0930-43,-91.7072,15.4525
2008,13-23-1034-43,-91.44450000000001,15.6
2008,13-29-1369-43,-91.7115,15.3735
2008,14-12-0492-43,-90.7426,15.0002
2008,14-15-4867-43,-90.869,15.4065
2008,17-05-2241-43,-90.5874,16.6995
2008,18-04-0335-43,-88.83629999999999,15.3045
2008,18-04-2548-43,-88.8533,15.5605
2008,19-04-0165-43,-89.3145,15.0507
2008,20-01-1206-43,-89.6362,14.8211
2008,20-05-0226-43,-89.2102,14.9064
2008,20-06-1829-43,-89.3404,14.7187
2008,20-07-1159-43,-89.19159999999999,14.6007
2008,22-06-0573-43,-89.76909999999999,14.1307
2008,00-01-0058-43,-90.50920000000001,14.6326
2008,00-01-0059-43,-90.51860000000001,14.6251
2008,00-01-0063-43,-90.505,14.6332
2008,00-01-0064-43,-90.5059,14.6432
2008,00-01-0065-43,-90.50920000000001,14.6326
2008,00-01-0066-43,-90.5035,14.6439
2008,00-01-0067-43,-90.5059,14.6432
2008,00-01-0070-43,-90.5069,14.6338
2008,00-01-0071-43,-90.5093,14.6355
2008,00-01-0072-43,-90.51309999999999,14.6348
2008,00-01-0074-43,-90.52160000000001,14.6404
2008,00-01-0075-43,-90.51860000000001,14.6251
2008,00-01-0076-43,-90.505,14.6332
2008,00-01-0078-43,-90.5159,14.6303
2008,00-01-0079-43,-90.5179,14.64
2008,00-01-0080-43,-90.5219,14.6362
2008,00-01-0085-43,-90.51309999999999,14.6348
2008,00-01-0087-43,-90.5164,14.6483
2008,00-01-0089-43,-90.5069,14.6338
2008,00-01-0090-43,-90.5179,14.64
2008,00-01-0091-43,-90.5093,14.6355
2008,00-01-6945-43,-90.5164,14.6483
2008,00-01-7115-43,-90.51779999999999,14.643
2008,00-02-0294-43,-90.50369999999999,14.654
2008,00-02-2201-43,-90.50369999999999,14.654
2008,00-03-0336-43,-90.52630000000001,14.6243
2008,00-03-0337-43,-90.5295,14.6246
2008,00-03-0338-43,-90.5295,14.6246
2008,00-03-0339-43,-90.5243,14.6275
2008,00-03-0340-43,-90.5243,14.6275
2008,00-03-0341-43,-90.5322,14.6173
2008,00-03-0343-43,-90.5322,14.6173
2008,00-03-0344-43,-90.5291,14.6458
2008,00-03-0345-43,-90.52630000000001,14.6243
2008,00-03-6896-43,-90.5265,14.6451
2008,00-03-7133-43,-90.5291,14.6458
2008,00-03-7740-43,-90.5253,14.6328
2008,00-03-8217-43,-90.5253,14.6374
2008,00-05-0405-43,-90.4974,14.6326
2008,00-05-0406-43,-90.4982,14.6237
2008,00-05-0407-43,-90.50490000000001,14.6165
2008,00-05-0408-43,-90.5038,14.6225
2008,00-05-0409-43,-90.50490000000001,14.6165
2008,00-05-0410-43,-90.4922,14.6307
2008,00-05-0411-43,-90.4982,14.6237
2008,00-05-0412-43,-90.502,14.624
2008,00-05-0413-43,-90.5038,14.6225
2008,00-05-0414-43,-90.4974,14.6326
2008,00-05-0415-43,-90.4923,14.6268
2008,00-05-0416-43,-90.502,14.624
2008,00-05-0417-43,-90.5021,14.6235
2008,00-05-0418-43,-90.50490000000001,14.6165
2008,00-05-0419-43,-90.5021,14.6211
2008,00-05-0420-43,-90.5,14.6245
2008,00-05-0421-43,-90.4907,14.6359
2008,00-05-0422-43,-90.50490000000001,14.6165
2008,00-05-0424-43,-90.5,14.6245
2008,00-05-0425-43,-90.5021,14.6235
2008,00-05-0426-43,-90.4907,14.6359
2008,00-05-0427-43,-90.5001,14.6288
2008,00-05-0429-43,-90.4922,14.6307
2008,00-05-0430-43,-90.50490000000001,14.6165
2008,00-05-0431-43,-90.4923,14.6268
2008,00-05-2487-43,-90.50490000000001,14.6165
2008,00-05-3100-43,-90.5001,14.6288
2008,00-06-0478-43,-90.4996,14.6499
2008,00-06-0479-43,-90.4893,14.6589
2008,00-06-0480-43,-90.49169999999999,14.6651
2008,00-06-0481-43,-90.4918,14.6452
2008,00-06-0482-43,-90.4918,14.6452
2008,00-06-0483-43,-90.4939,14.6474
2008,00-06-0484-43,-90.5004,14.6475
2008,00-06-0485-43,-90.4836,14.6667
2008,00-06-0486-43,-90.4843,14.6735
2008,00-06-0487-43,-90.4996,14.6499
2008,00-06-0489-43,-90.4836,14.6667
2008,00-06-0490-43,-90.50239999999999,14.648
2008,00-06-0491-43,-90.49039999999999,14.6574
2008,00-06-0492-43,-90.50069999999999,14.6547
2008,00-06-0493-43,-90.4843,14.6735
2008,00-06-0495-43,-90.49169999999999,14.6651
2008,00-06-0496-43,-90.49039999999999,14.6574
2008,00-06-0497-43,-90.50069999999999,14.6547
2008,00-06-0498-43,-90.4984,14.6597
2008,00-06-0499-43,-90.4875,14.6493
2008,00-06-0500-43,-90.4996,14.6589
2008,00-06-0501-43,-90.5004,14.6475
2008,00-06-0502-43,-90.4984,14.6597
2008,00-06-4197-43,-90.4996,14.6589
2008,00-06-7680-43,-90.4836,14.6667
2008,00-07-0567-43,-90.53449999999999,14.6503
2008,00-07-0568-43,-90.53870000000001,14.6231
2008,00-07-0569-43,-90.5475,14.6274
2008,00-07-0570-43,-90.53870000000001,14.6231
2008,00-07-0571-43,-90.5299,14.6591
2008,00-07-0572-43,-90.53959999999999,14.646
2008,00-07-0573-43,-90.5351,14.6175
2008,00-07-0574-43,-90.5566,14.6322
2008,00-07-0575-43,-90.5566,14.6322
2008,00-07-0576-43,-90.5382,14.6238
2008,00-07-0577-43,-90.54649999999999,14.6255
2008,00-07-0578-43,-90.5428,14.6281
2008,00-07-0579-43,-90.5382,14.6238
2008,00-07-0580-43,-90.5342,14.6506
2008,00-07-0581-43,-90.5372,14.6294
2008,00-07-0582-43,-90.5454,14.625
2008,00-07-0584-43,-90.5294,14.6573
2008,00-07-0585-43,-90.5351,14.6175
2008,00-07-0586-43,-90.5535,14.4612
2008,00-07-0587-43,-90.5654,14.6399
2008,00-07-0589-43,-90.5505,14.6375
2008,00-07-0590-43,-90.53449999999999,14.6503
2008,00-07-0591-43,-90.5363,14.6466
2008,00-07-0592-43,-90.5314,14.6554
2008,00-07-0593-43,-90.5385,14.6447
2008,00-07-0594-43,-90.523,14.6705
2008,00-07-0596-43,-90.5454,14.625
2008,00-07-0597-43,-90.5292,14.6586
